"Sample"	"log_rte"	"l_utr3"
"Untr"	-2.13919848286641	213
"Untr"	-7.27230928045573	234
"Untr"	-8.31219261933246	363
"Untr"	-2.61822804094651	1696
"Untr"	-1.2455001456624	3235
"Untr"	-5.13355261063435	2280
"Untr"	-3.31304993995949	168
"Untr"	-2.35673885594504	3059
"Untr"	-3.79631004310848	366
"Untr"	-5.71065046212804	283
"Untr"	-3.6785618509	22
"Untr"	-5.04246538111148	303
"Untr"	-12.7153900316887	1212
"Untr"	-6.52467607125197	1803
"Untr"	-2.34438294571506	142
"Untr"	-3.67516030969274	465
"Untr"	-4.31194399176519	157
"Untr"	0.916947637837998	2098
"Untr"	-3.59610304873915	47
"Untr"	-2.9970910138306	4861
"Untr"	-6.21970458464261	565
"Untr"	-5.72459825081407	895
"Untr"	-0.0510741845942704	1623
"Untr"	-3.67453154265562	1641
"Untr"	-2.05115804027396	459
"Untr"	-4.06385027977323	282
"Untr"	-3.66082138907556	4245
"Untr"	-1.01633873681475	223
"Untr"	-2.60145062167832	110
"Untr"	-4.01068600515868	2926
"Untr"	-7.13528852441785	281
"Untr"	-4.35641646535061	1261
"Untr"	-1.6606898268844	1297
"Untr"	-2.1303966338448	876
"Untr"	-3.95279309337293	151
"Untr"	-2.89035429699087	1288
"Untr"	-3.10707721942653	222
"Untr"	-3.25879374994138	366
"Untr"	-3.65234542994005	1946
"Untr"	-6.37102140267255	577
"Untr"	-3.23929094450228	1152
"Untr"	-2.77393192052015	1527
"Untr"	-3.68449816710922	217
"Untr"	-1.9893527558005	4170
"Untr"	-1.69764575712323	5667
"Untr"	-4.24751252853036	786
"Untr"	-1.30191430529149	1591
"Untr"	-7.0973853025022	82
"Untr"	-1.58496250072116	7642
"Untr"	-5.36652266706011	6704
"Untr"	-3.12778876915124	1669
"Untr"	-0.274622380109007	972
"Untr"	-1.62990990501738	7629
"Untr"	-3.71284279285892	2042
"Untr"	-2.13108086478383	972
"Untr"	-5.72451385311995	772
"Untr"	-1	489
"Untr"	-4.20858662181142	4334
"Untr"	-4.14201900319364	475
"Untr"	-3.81151374121655	3104
"Untr"	-4.98854556004265	179
"Untr"	-1.44640166845523	169
"Untr"	-3.74043778103663	1303
"Untr"	-5.02236780928045	2679
"Untr"	-4.9916710130506	2045
"Untr"	1.75521130309421	2806
"Untr"	1.73039294024272	160
"Untr"	-3.68075063683185	2843
"Untr"	-4.06619848886284	101
"Untr"	-6.57088831278422	1659
"Untr"	-4.62169977167136	1385
"Untr"	-3.46037350940083	2692
"Untr"	-2.74507064222322	3008
"Untr"	-5.5463672544661	296
"Untr"	-6.53705551720575	1028
"Untr"	-0.678071905112638	2360
"Untr"	-4.27427450124869	744
"Untr"	-2.43155258396542	141
"Untr"	-5.83733591441104	433
"Untr"	-4.32827402520494	994
"Untr"	-6.9460094619947	1830
"Untr"	-2.23271395211381	2871
"Untr"	-2.36374827058199	140
"Untr"	-4.43295940727611	1870
"Untr"	-5.89198893155566	109
"Untr"	-3.85751597902381	601
"Untr"	-5.67786507038664	4385
"Untr"	-4.22881868213922	267
"Untr"	-0.852611203187254	2250
"Untr"	-0.70994242039966	2056
"Untr"	-6.45809948469873	1495
"Untr"	-4.33507189280836	228
"Untr"	-2.29246283936967	295
"Untr"	-8.44374563204248	1085
"Untr"	-4.56342933513231	178
"Untr"	-5.52326604841015	922
