Sample	AUROC_mean	AUROC_sd
Untr	0.682702947845805	0.0688187012851689
G418_500	0.771496600837512	0.0469753797981207
Genta	0.775750246349548	0.0495492192943768
Parom	0.766611503936613	0.0210131877807478
Neo	0.771688260179799	0.0509019161187093
Tobra	0.683855105105105	0.0897057515348116
Amik	0.724758649550893	0.0372790081213988
G418_2000	0.728229427712172	0.0143412174323383
G418_500_10min	0.812272299375977	0.0125733503999938
