Sample	nrmse_mean	nrmse_sd
Untr	0.126724730849934	0.00835723022759492
G418_500	0.101807527990718	0.00200974990056392
Genta	0.126296087203408	0.00557889173320169
Parom	0.118758212248193	0.00351989508432335
Neo	0.106931283694516	0.00337101776327064
Tobra	0.146131569259255	0.00721572136443517
Amik	0.138324127964847	0.00678231888752211
G418_2000	0.106583918853171	0.00355049635498126
G418_500_10min	0.102640732798565	0.00275197911735542
