Sample	%IncMSE	IncNodePurity	feature
Untr	-0.404244365366262	20.6403597977206	tunnel_lower_neg_charge
Untr	1.88718327680029	22.8662729705022	tunnel_lower_no_charge
Untr	0.740080841934768	37.5384071416346	tunnel_lower_pos_charge
Untr	1.30327940801477	15.7146355961948	tunnel_lower_aromatic
Untr	1.19167596410048	36.9360803873612	tunnel_lower_polar
Untr	1.71742915565083	44.0671610424329	tunnel_lower_nonpolar
Untr	0.294978999947268	20.1340583118672	tunnel_lower_v_hydrophobic
Untr	-0.965069186345941	25.2064012904647	tunnel_lower_hydrophobic
Untr	-1.74435154477689	32.8495831286449	tunnel_lower_neutral
Untr	1.61950553701222	28.9205461239492	tunnel_lower_hydrophilic
Untr	0.288427777102682	10.136754069731	tunnel_central_neg_charge
Untr	1.48208013905786	17.4790429480689	tunnel_central_no_charge
Untr	-2.07024332949399	17.454121716385	tunnel_central_pos_charge
Untr	-0.330120271119104	11.986776766092	tunnel_central_aromatic
Untr	0.603814834149965	22.1767772471229	tunnel_central_polar
Untr	1.57535926363874	31.1189410119392	tunnel_central_nonpolar
Untr	1.39953491599524	21.5089267147257	tunnel_central_v_hydrophobic
Untr	-1.09529030098961	25.0244569738588	tunnel_central_hydrophobic
Untr	0.933223285400822	19.1928553923228	tunnel_central_neutral
Untr	1.66669533940085	16.9327270501402	tunnel_central_hydrophilic
Untr	-0.467603908241369	5.71816956605193	tunnel_constriction_neg_charge
Untr	1.56862984105901	16.5638756213196	tunnel_constriction_no_charge
Untr	1.89102947754372	21.1026051871598	tunnel_constriction_pos_charge
Untr	-0.723372567467097	4.67889050343553	tunnel_constriction_aromatic
Untr	-0.601645150176012	16.4792240209625	tunnel_constriction_polar
Untr	-0.0110267798664712	16.380734370353	tunnel_constriction_nonpolar
Untr	-0.0696050254339039	19.7044038816111	tunnel_constriction_v_hydrophobic
Untr	0.500894802144966	6.75327508698475	tunnel_constriction_hydrophobic
Untr	2.19779350142937	9.92607371671681	tunnel_constriction_neutral
Untr	1.27152401999958	8.9321745570205	tunnel_constriction_hydrophilic
Untr	-0.640194106142696	10.9366678146658	tunnel_upper_neg_charge
Untr	-0.0610115090901043	23.4425068999242	tunnel_upper_no_charge
Untr	0.536390942112339	27.2031330631344	tunnel_upper_pos_charge
Untr	0.902894704556364	15.4143375232786	tunnel_upper_aromatic
Untr	1.31790839312717	45.331353096807	tunnel_upper_polar
Untr	2.69853580202094	22.0598677266728	tunnel_upper_nonpolar
Untr	0.131606664532842	14.8973913626305	tunnel_upper_v_hydrophobic
Untr	0.477222925324415	11.6727756061955	tunnel_upper_hydrophobic
Untr	0.768881572715522	19.2223552614501	tunnel_upper_neutral
Untr	1.361450523696	22.0874097148519	tunnel_upper_hydrophilic
Untr	0.733757556435237	430.750283454639	aa_m02
Untr	0.369704634790893	406.796338060334	aa_m01
Untr	0.635224904764292	26.2236556904366	nt_m01
Untr	0.827826042225631	15.7865791855238	nt_m02
Untr	-1.88131724736986	15.8918543396709	nt_m03
Untr	0.596815547468397	36.3351045989107	nt_m04
Untr	0.160958685949944	18.8982229432107	nt_m05
Untr	-0.534977213574495	15.3184572810635	nt_m06
Untr	1.65373555793691	52.1408279392648	nt_m07
Untr	1.31362998593752	31.600148476382	nt_m08
Untr	3.34644708667043	56.4553757019688	nt_m09
Untr	-0.14752037027418	33.7237731297754	nt_m10
Untr	2.17491932300939	44.8325282598618	nt_m11
Untr	0.856289193354237	45.5951107667694	nt_m12
Untr	1.19708104861884	44.8614345325982	nt_m13
Untr	1.39702629923519	22.4036569681822	nt_m14
Untr	-1.45544057964439	36.7479225816312	nt_m15
Untr	1.35402042753388	38.7376144409163	nt_m16
Untr	-0.348962941236299	32.7426682221124	nt_m17
Untr	0.515472239956935	33.6304206275002	nt_m18
Untr	2.02595216768219	39.6485921600303	stop_codon
Untr	1.38103603500181	57.9233726743398	nt_p04
Untr	-0.428896756241201	29.2378078020741	nt_p05
Untr	1.79002256346826	50.5985367493228	nt_p06
Untr	0.0826230688031422	31.4353217890943	nt_p07
Untr	0.0899385699630653	35.3085641167428	nt_p08
Untr	0.404212310078141	35.242906156625	nt_p09
Untr	1.51438286745998	32.4575925403255	nt_p10
Untr	-1.91846314489057	31.9141799998527	nt_p11
Untr	-0.492407298707951	37.6115002799705	nt_p12
Untr	-0.871776053981568	31.7861867740117	nt_p13
Untr	0.873376203654951	30.4626012921768	nt_p14
Untr	0.881505097515931	25.1652972284896	nt_p15
Untr	0.781356122993241	33.8156217514318	nt_p16
Untr	5.58448473965078	236.678358532251	l_utr3
Untr	-0.108894101079614	26.8165206072506	random_factor
Untr	-1.83626881723793	59.6163051098549	random_num
G418_500	0.948742954187373	39.8908952358722	tunnel_lower_neg_charge
G418_500	2.01742274296647	53.3254194401258	tunnel_lower_no_charge
G418_500	1.76979396162857	56.7275464609798	tunnel_lower_pos_charge
G418_500	-0.381785185058848	39.5653269582278	tunnel_lower_aromatic
G418_500	-0.140100514900352	87.6507664821278	tunnel_lower_polar
G418_500	1.22349210514	63.3557066108843	tunnel_lower_nonpolar
G418_500	-0.991675537635549	62.605661608401	tunnel_lower_v_hydrophobic
G418_500	2.14540955970921	45.3465169382345	tunnel_lower_hydrophobic
G418_500	1.84173610810633	75.57682471154	tunnel_lower_neutral
G418_500	2.36418865809086	56.3603690286126	tunnel_lower_hydrophilic
G418_500	1.00681996227216	31.638444409417	tunnel_central_neg_charge
G418_500	0.331697481981057	49.2813816383369	tunnel_central_no_charge
G418_500	0.250204215368918	38.578029807345	tunnel_central_pos_charge
